Title,Authors,Year,PDF Link
"LIIR: Learning Individual Intrinsic Reward in Multi-Agent Reinforcement Learning","Yali Du, Lei Han, Meng Fang, Ji Liu, Tianhong Dai, Dacheng Tao","2019","https://papers.nips.cc/paper_files/paper/2019/file/07a9d3fed4c5ea6b17e80258dee231fa-Paper.pdf"
"A Normative Theory for Causal Inference and Bayes Factor Computation in Neural Circuits","Wenhao Zhang, Si Wu, Brent Doiron, Tai Sing Lee","2019","https://papers.nips.cc/paper_files/paper/2019/file/07cb5f86508f146774a2fac4373a8e50-Paper.pdf"
"The Geometry of Deep Networks: Power Diagram Subdivision","Randall Balestriero, Romain Cosentino, Behnaam Aazhang, Richard Baraniuk","2019","https://papers.nips.cc/paper_files/paper/2019/file/0801b20e08c3242125d512808cd74302-Paper.pdf"
"Visual Sequence Learning in Hierarchical Prediction Networks and Primate Visual Cortex","","2019","https://papers.nips.cc/paper_files/paper/2019/file/08040837089cdf46631a10aca5258e16-Paper.pdf"
"Equal Opportunity in Online Classification with Partial Feedback","Yahav Bechavod, Katrina Ligett, Aaron Roth, Bo Waggoner, Steven Z. Wu","2019","https://papers.nips.cc/paper_files/paper/2019/file/084afd913ab1e6ea58b8ca73f6cb41a6-Paper.pdf"
"Semi-Parametric Efficient Policy Learning with Continuous Actions","Victor Chernozhukov, Mert Demirer, Greg Lewis, Vasilis Syrgkanis","2019","https://papers.nips.cc/paper_files/paper/2019/file/08b7dc6e8b36bcaac15847827b7951a9-Paper.pdf"
"Concentration of risk measures: A Wasserstein distance approach","Sanjay P. Bhat, Prashanth L.A.","2019","https://papers.nips.cc/paper_files/paper/2019/file/091bc5440296cc0e41dd60ce22fbaf88-Paper.pdf"
"Interior-Point Methods Strike Back: Solving the Wasserstein Barycenter Problem","DongDong Ge, Haoyue Wang, Zikai Xiong, Yinyu Ye","2019","https://papers.nips.cc/paper_files/paper/2019/file/0937fb5864ed06ffb59ae5f9b5ed67a9-Paper.pdf"
"Coda: An End-to-End Neural Program Decompiler","Cheng Fu, Huili Chen, Haolan Liu, Xinyun Chen, Yuandong Tian, Farinaz Koushanfar, Jishen Zhao","2019","https://papers.nips.cc/paper_files/paper/2019/file/093b60fd0557804c8ba0cbf1453da22f-Paper.pdf"
"GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism","Yanping Huang, Youlong Cheng, Ankur Bapna, Orhan Firat, Dehao Chen, Mia Chen, HyoukJoong Lee, Jiquan Ngiam, Quoc V. Le, Yonghui Wu, zhifeng Chen","2019","https://papers.nips.cc/paper_files/paper/2019/file/093f65e080a295f8076b1c5722a46aa2-Paper.pdf"
"DiskANN: Fast Accurate Billion-point Nearest Neighbor Search on a Single Node","Suhas Jayaram Subramanya, Fnu Devvrit, Harsha Vardhan Simhadri, Ravishankar Krishnawamy, Rohan Kadekodi","2019","https://papers.nips.cc/paper_files/paper/2019/file/09853c7fb1d3f8ee67a61b6bf4a7f8e6-Paper.pdf"
"Linear Stochastic Bandits Under Safety Constraints","Sanae Amani, Mahnoosh Alizadeh, Christos Thrampoulidis","2019","https://papers.nips.cc/paper_files/paper/2019/file/09a8a8976abcdfdee15128b4cc02f33a-Paper.pdf"
"Power analysis of knockoff filters for correlated designs","Jingbo Liu, Philippe Rigollet","2019","https://papers.nips.cc/paper_files/paper/2019/file/09ab23b6b607496f095feed7aaa1259b-Paper.pdf"
"Implicitly learning to reason in first-order logic","Vaishak Belle, Brendan Juba","2019","https://papers.nips.cc/paper_files/paper/2019/file/09fb05dd477d4ae6479985ca56c5a12d-Paper.pdf"
